year,month,consumer_sentiment,year_month,unemployment_rate,cpi,gas_price,cpi_yoy_pct,gas_price_z,cpi_yoy_pct_z,unemployment_rate_z,consumer_sentiment_z,economic_pressure_index
2020,11,76.9,2020-11-01,6.7,260.911,2.1082,1.1757452138405844,-1.4938714944600402,-1.0616215456888844,1.1915512788177172,-0.06201182898344757,-1.3019299323477598
2020,12,80.7,2020-12-01,6.7,262.045,2.19525,1.3204191315779434,-1.3447567240132017,-0.9950468165198175,1.1915512788177172,0.17214304468485608,-1.3203953064001581
2021,1,79.0,2021-01-01,6.4,262.687,2.33425,1.3738437137002402,-1.1066527252525984,-0.9704623776562805,1.025465486757447,0.06738954857008841,-1.11903916472152
2021,2,76.8,2021-02-01,6.2,263.579,2.501,1.6698167791706853,-0.8210135756602918,-0.8342641811658488,0.9147416253839337,-0.0681737993431403,-0.6723623320990666
2021,3,84.9,2021-03-01,6.1,264.961,2.8104,2.6678187820641908,-0.2910180561169048,-0.37501268585872843,0.8593796946971767,0.43094579979192893,-0.23759684707038553
2021,4,88.3,2021-04-01,6.1,266.614,2.85825,4.133077115360573,-0.20905203927737334,0.29925658276656536,0.8593796946971767,0.6404527920214634,0.3091314461649053
2021,5,82.9,2021-05-01,5.8,268.383,2.9852,4.918257089467626,0.008410569662616598,0.6605735702559666,0.6932939026369068,0.3077063925980848,1.0545716499574054
2021,6,85.5,2021-06-01,5.9,270.654,3.06375,5.295632620349999,0.14296502363848346,0.83423081377609,0.7486558333236638,0.4679176219500818,1.2579340487881556
2021,7,81.2,2021-07-01,5.4,271.903,3.136,5.245169381309234,0.26672771364174674,0.8110090988693863,0.47184617988988037,0.20295289648331713,1.3466300959176962
2021,8,70.3,2021-08-01,5.1,272.676,3.1578,5.152015301793966,0.3040706429437691,0.7681423008195731,0.3057603878296099,-0.46870187272313374,1.846675204316086
2021,9,72.8,2021-09-01,4.7,273.91,3.175,5.351215590949132,0.3335338715673832,0.8598084802409411,0.08431266508258348,-0.31465261373082853,1.5923076306217363
2021,10,71.7,2021-10-01,4.5,276.55,3.2904999999999998,6.235042390298062,0.5313828777317695,1.2665198676095843,-0.02641119629092998,-0.3824342876874425,2.1539258367378666
2021,11,67.4,2021-11-01,4.1,278.919,3.3948,6.901970403700863,0.7100465257226402,1.573420742086213,-0.2478589190379569,-0.6473990131542072,2.6830073619251036
2021,12,70.6,2021-12-01,3.9,280.845,3.3064999999999998,7.174340285065539,0.5587905322653642,1.6987574397388108,-0.3585827804114701,-0.45021596164405725,2.349181153236762
2022,1,67.2,2022-01-01,4.0,282.543,3.3146,7.558805726967832,0.5726656573729969,1.8756772541035338,-0.30322084972471336,-0.6597229538735918,2.8048450156254097
2022,2,62.8,2022-02-01,3.9,284.5,3.5172499999999998,7.937278766517819,0.9198007318250564,2.0498395391919635,-0.3585827804114701,-0.9308496497000491,3.541907140305599
2022,3,59.4,2022-03-01,3.7,287.674,4.22175,8.572204966013853,2.126594020507397,2.3420141096665836,-0.4693066417849833,-1.140356641929584,5.1396581303185815
2022,4,65.2,2022-04-01,3.7,288.561,4.1085,8.231750770777225,1.9325992157617973,2.185346990970743,-0.4693066417849833,-0.7829623610674359,4.431601926014993
2022,5,58.4,2022-05-01,3.6,291.298,4.4436,8.538171195642065,2.50661828039977,2.326352758397882,-0.52466857247174,-1.2019763455265062,5.510278811852418
2022,6,50.0,2022-06-01,3.6,294.957,4.929,8.979361103105798,3.3380979998126983,2.5293755220092597,-0.52466857247174,-1.7195818557406515,7.06238680509087
