course,model_name,rmse_mean,mae_mean,mape_mean
aiare 1,gbr_n_estimators=300_learning_rate=0.1_max_depth=6_subsample=1.0,159.8158792889415,127.99916732285536,15.663598046316013
aiare 1,gbr_n_estimators=200_learning_rate=0.1_max_depth=6_subsample=1.0,159.81587937074647,127.9991674191008,15.663598119537317
aiare 1,gbr_n_estimators=100_learning_rate=0.1_max_depth=6_subsample=1.0,159.81792822265203,128.0020155513967,15.659483675970506
aiare 1,gbr_n_estimators=100_learning_rate=0.1_max_depth=5_subsample=1.0,161.3103247479332,126.6569933743822,19.45809519405333
aiare 1,gbr_n_estimators=300_learning_rate=0.1_max_depth=5_subsample=1.0,161.3111355695791,126.66236192083308,19.503719725502407
aiare 1,gbr_n_estimators=200_learning_rate=0.1_max_depth=5_subsample=1.0,161.31113560219373,126.66236163333501,19.503717073770616
aiare 1,elasticnet_alpha=0.1_l1_ratio=0.7,161.5489769698409,147.22605185386055,493.93033695096494
aiare 1,extra_trees_n_estimators=100_max_depth=None_min_samples_leaf=3,162.1313796693142,144.37069047619062,92.62842381250006
aiare 1,extra_trees_n_estimators=100_max_depth=20_min_samples_leaf=3,162.13137966931427,144.37069047619067,92.62842381250007
aiare 1,extra_trees_n_estimators=100_max_depth=10_min_samples_leaf=3,162.13137966931433,144.3706904761907,92.62842381250006
aiare 1,gbr_n_estimators=100_learning_rate=0.2_max_depth=6_subsample=1.0,163.17422822795598,122.2152126189794,15.15282222927989
aiare 1,gbr_n_estimators=200_learning_rate=0.2_max_depth=6_subsample=1.0,163.17422823227668,122.21521264498634,15.152822624728994
aiare 1,gbr_n_estimators=300_learning_rate=0.2_max_depth=6_subsample=1.0,163.17422823227668,122.21521264498634,15.152822624728994
aiare 1,bagging_n_estimators=10_max_samples=0.9_max_features=1.0,165.13485687104102,127.97142857142856,77.11939259364154
